,question,answer,customer,seller,time,tags
0,will my bose soundlike Micro fit on this case what is its dimension size?,"Sorry, this bag is small, can not fit your soundlike Micro.",Elian A.,Ugreen Flagship Store,1  week ago,specification inquiry
1,How much is the total amount including the shipping fee? it says it ships from overseas.,"Hello, there is extra ₱50.00 shipping fee will be charged by local courier, and there is free shipping for 3 pcs promotion.",Adam N.,Ugreen Flagship Store,1  week ago,price inquiry
2,Isang velcro tie lang talaga ang included?,"Yes, there is free cable tie included , thx.",Mark A.,Ugreen Flagship Store,1  week ago,specification inquiry
3,Is this case leather?,"Thanks for your inquiry, this is solid EVA material.",Kyle V.,Ugreen Flagship Store,2  weeks ago,specification inquiry
4,"I ordered two of your items and placed on December ten, twenty-eighteen but until now January seven, twenty-nineteen I still not have received any of those. You over due the time frame of delivery as well as the alloted extension days. How about that? What can we do about that?","Sorry for the inconvenience caused, could you please provide us your order number for checking？you can contact us by Chat Online",Sheryl L.,Ugreen Flagship Store,2  weeks ago,"delivery inquiry, inquiry (others), delivery complaint"
5,wow,"Yeah, the item included in the case, it is to show how to use the case, thanks for your understanding.",OFFLINE G.,Ugreen Flagship Store,2  weeks ago,backchannel
6,is the case combined with free items like headset or charger,"Good day, this is case only, there is no earphone or charger, but there will be free velcro trap included in the package, please kindly note, thx.",OFFLINE G.,Ugreen Flagship Store,2  weeks ago,specification inquiry
7,can i ask some questions,"Good day, any inquiry (others) feel free to let me know.",OFFLINE G.,Ugreen Flagship Store,2  weeks ago,inquiry (others)
8,hello,"Hello, what can I do for you?",OFFLINE G.,Ugreen Flagship Store,2  weeks ago,opening
9,How can I assure that there is velcro tie if I order now?,"Hello, there is a cable tie included in the package, please rest assured.",Mark A.,Ugreen Flagship Store,3  weeks ago,inquiry (others)
10,"hello. if i order today, will there be an free strap included? thanks","Good day, there will be a free strap tie included for you, welcome to order.",9359585869,Ugreen Flagship Store,3  weeks ago,"opening, promo inquiry, thanking"
11,bat sa akin wlang ng cable na free,"Hello, there will be free cable tie included in the package.",Mart S.,Ugreen Flagship Store,3  weeks ago,product complaint
12,May free na strap pa din po ba hanggang ngyon?,"Hello, there is free cable tie included in the package, thanks.",Jenica A.,Ugreen Flagship Store,4  weeks ago,promo inquiry
13,"I already message, why not try and check it?","Good day, as our after-sale colleague is busy with hundred of , I will inform him to reply you ASAP, thanks for your patience.",Nick R.,Ugreen Flagship Store,1  month ago,"backchannel, service complaint"
14,"Why the status on the delivery is failed? you didn't notify me for the delivery. no sms or call, waited for 4 days for nothing?","Sorry to hear that your order was updated as delivery failed, as delivery charged by local courier , we seller have no right to control it, but you can provide us your order number for checking, you could contact us by Chat Online, thx.",Nick R.,Ugreen Flagship Store,1  month ago,"delivery complaint, service complaint"
15,bakit 282 ang pinabayaran sakin dito?,"Good day, could you please describe more details in English? thanks a lot.",Ronald C.,Ugreen Flagship Store,1  month ago,price inquiry
